FECHA,LIGA,LOCAL,VISITANTE,ODDS_REAL_SCORE,TOP1,TOP2,TOP3,TOP5,P_TOP1,ODDS_TOP1_HIT,ODDS_TOP3_HIT,ODDS_TOP5_HIT,CUOTA,CS001_ATTACK_EDGE,CS002_DOMINANCE,CS003_FORM_EDGE,CS004_SHOTS_EDGE,CS005_OVER_EDGE,CS006_BTTS_EDGE,CS007_AWAY_ATTACK_EDGE,CS007_HOME_ATTACK_EDGE,CS008_AWAY_GA_STD,CS008_AWAY_GF_STD,CS008_HOME_GA_STD,CS008_HOME_GF_STD,CS009_AWAY_TG0_RATE,CS009_AWAY_TG1_RATE,CS009_AWAY_TG2_RATE,CS009_AWAY_TG3_RATE,CS009_AWAY_TG4PLUS_RATE,CS009_HOME_TG0_RATE,CS009_HOME_TG1_RATE,CS009_HOME_TG2_RATE,CS009_HOME_TG3_RATE,CS009_HOME_TG4PLUS_RATE,CS010_AWAY_WIN10_RATE,CS010_AWAY_WIN20_RATE,CS010_AWAY_WIN21_RATE,CS010_AWAY_WINOTHER_RATE,CS010_HOME_WIN10_RATE,CS010_HOME_WIN20_RATE,CS010_HOME_WIN21_RATE,CS010_HOME_WINOTHER_RATE
2021-08-28,1º DIV ITALIA,LAZIO,SPEZIA,6-1,0-1,1-1,0-0,"['0-1', '1-1', '0-0', '1-0', '0-2']",0.13365087072917953,False,False,False,61.0,-4.0,-3.2,-0.3333333333333333,-6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-08-28,1º DIV ITALIA,ATALANTA,BOLOGNA,0-0,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,True,True,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2021-08-28,1º DIV ITALIA,JUVENTUS,EMPOLI,0-1,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,False,True,True,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-28,1º DIV ITALIA,FIORENTINA,TORINO,2-1,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,False,False,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-29,1º DIV ITALIA,GENOA,NAPOLI,1-2,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,False,False,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-29,1º DIV ITALIA,SASSUOLO,SAMPDORIA,0-0,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,True,True,True,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-08-29,1º DIV ITALIA,MILAN,CAGLIARI,4-1,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,False,False,False,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08-29,1º DIV ITALIA,SALERNITANA,ROMA,0-4,0-0,0-1,0-2,"['0-0', '0-1', '0-2', '0-3', '0-4']",1.0,False,False,True,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-09-11,1º DIV ITALIA,EMPOLI,VENEZIA,1-2,1-1,2-1,1-2,"['1-1', '2-1', '1-2', '2-2', '1-0']",0.09959022267949148,False,True,True,15.0,1.5,-1.2000000000000002,0.0,1.5,0.75,0.5,0.0,2.5,0.5,0.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09-11,1º DIV ITALIA,NAPOLI,JUVENTUS,2-1,2-1,1-1,2-0,"['2-1', '1-1', '2-0', '1-0', '3-1']",0.09928165668725193,True,True,True,10.0,-2.0,0.0,0.6666666666666667,0.0,0.5,0.5,0.0,4.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2021-09-11,1º DIV ITALIA,ATALANTA,FIORENTINA,1-2,1-0,2-0,0-0,"['1-0', '2-0', '0-0', '1-1', '2-1']",0.18860556696779146,False,False,False,19.0,-4.0,-3.9999999999999996,0.3333333333333333,-5.0,0.5,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2021-09-12,1º DIV ITALIA,CAGLIARI,GENOA,2-3,3-0,3-1,2-0,"['3-0', '3-1', '2-0', '2-1', '4-0']",0.08195857132436206,False,False,False,41.0,0.0,-1.0,0.3333333333333333,5.0,1.0,0.5,0.0,8.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
