TEMPORADA,LIGA,PARTIDOS,CORE_SEÑALES,CORE_COBERTURA,CORE_P_MEDIA,CORE_P_MIN,CORE_P_MAX,CORE_STAKE,CORE_RETURN,CORE_PROFIT,CORE_ROI
ENG_2021,ENG,380,14,0.0368421052631578,0.1946192476543238,0.1634520663417945,0.2858349807699826,14.0,0.0,-14.0,-1.0
ESP_2021,ESP,380,51,0.13421052631578947,0.2065718271156777,0.16115757931264174,0.39804522480094023,51.0,105.0,54.0,1.0588235294117647
ESP_2022,ESP,380,39,0.1026315789473684,0.1903237961513104,0.160219391187741,0.3107336589538032,39.0,80.0,41.0,1.051282051282051
FRA_2021,FRA,380,8,0.0210526315789473,0.2006270947291765,0.1620541059630261,0.2857162052908392,8.0,15.0,7.0,0.875
GER_2021,GER,306,8,0.0261437908496732,0.1930435142703204,0.1649378937480499,0.2430907189775147,8.0,0.0,-8.0,-1.0
ITA_2021,ITA,380,9,0.0236842105263157,0.191771930151115,0.1635535454645237,0.2748254830804519,9.0,17.0,8.0,0.8888888888888888
